Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,0.000E+00,
Source,Math,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E+00,
Vertical Position,0.000E+00,
Horizontal Units,S,
Horizontal Scale,2.000E-04,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-04,
Horizontal Old Position,0.000E+00,
Firmware,V1.23,
Mode,Detail,
Waveform Data,
-9.999999e-04,1.80e+00,
-9.997999e-04,1.80e+00,
-9.995999e-04,1.80e+00,
-9.993999e-04,1.60e+00,
-9.991999e-04,1.80e+00,
-9.989999e-04,1.80e+00,
-9.987999e-04,1.80e+00,
-9.985999e-04,1.80e+00,
-9.983999e-04,1.80e+00,
-9.981999e-04,1.60e+00,
-9.979999e-04,1.80e+00,
-9.977999e-04,1.80e+00,
-9.975999e-04,1.80e+00,
-9.973999e-04,1.80e+00,
-9.971999e-04,1.80e+00,
-9.969999e-04,2.00e+00,
-9.967999e-04,1.80e+00,
-9.965999e-04,2.00e+00,
-9.963999e-04,2.00e+00,
-9.961999e-04,1.80e+00,
-9.959999e-04,1.80e+00,
-9.957999e-04,1.80e+00,
-9.955999e-04,1.80e+00,
-9.953999e-04,2.00e+00,
-9.951999e-04,1.80e+00,
-9.949999e-04,2.00e+00,
-9.947999e-04,1.80e+00,
-9.945999e-04,1.80e+00,
-9.943999e-04,2.00e+00,
-9.941999e-04,2.00e+00,
-9.939999e-04,2.00e+00,
-9.937999e-04,2.00e+00,
-9.935999e-04,2.00e+00,
-9.933999e-04,2.00e+00,
-9.931999e-04,2.00e+00,
-9.929999e-04,2.00e+00,
-9.927999e-04,2.00e+00,
-9.925999e-04,2.00e+00,
-9.923999e-04,1.80e+00,
-9.921999e-04,1.80e+00,
-9.919999e-04,1.80e+00,
-9.917999e-04,2.00e+00,
-9.915999e-04,2.00e+00,
-9.913999e-04,2.00e+00,
-9.911999e-04,2.00e+00,
-9.909999e-04,1.80e+00,
-9.907999e-04,2.00e+00,
-9.905999e-04,2.00e+00,
-9.903999e-04,1.80e+00,
-9.901999e-04,2.20e+00,
-9.899999e-04,1.80e+00,
-9.897999e-04,2.00e+00,
-9.895999e-04,2.00e+00,
-9.893999e-04,2.00e+00,
-9.891999e-04,2.00e+00,
-9.889999e-04,2.20e+00,
-9.887999e-04,2.00e+00,
-9.885999e-04,2.00e+00,
-9.883999e-04,2.00e+00,
-9.881999e-04,2.00e+00,
-9.879999e-04,2.00e+00,
-9.877999e-04,2.20e+00,
-9.875999e-04,2.00e+00,
-9.873999e-04,2.00e+00,
-9.871999e-04,2.00e+00,
-9.869999e-04,2.00e+00,
-9.867999e-04,2.00e+00,
-9.865999e-04,2.00e+00,
-9.863999e-04,2.00e+00,
-9.861999e-04,2.00e+00,
-9.859999e-04,2.00e+00,
-9.857999e-04,2.00e+00,
-9.855999e-04,2.00e+00,
-9.853999e-04,2.20e+00,
-9.851999e-04,2.00e+00,
-9.849999e-04,2.20e+00,
-9.847999e-04,2.00e+00,
-9.845999e-04,2.00e+00,
-9.843999e-04,2.00e+00,
-9.841999e-04,2.20e+00,
-9.839999e-04,2.00e+00,
-9.837999e-04,2.00e+00,
-9.835999e-04,2.00e+00,
-9.833999e-04,2.00e+00,
-9.831999e-04,2.20e+00,
-9.829999e-04,2.00e+00,
-9.827999e-04,2.00e+00,
-9.825999e-04,2.00e+00,
-9.823999e-04,2.00e+00,
-9.821999e-04,2.00e+00,
-9.819999e-04,2.00e+00,
-9.817999e-04,2.20e+00,
-9.815999e-04,2.20e+00,
-9.813999e-04,2.00e+00,
-9.811999e-04,2.00e+00,
-9.809999e-04,2.00e+00,
-9.807999e-04,2.20e+00,
-9.805999e-04,2.20e+00,
-9.803999e-04,2.00e+00,
-9.801999e-04,2.00e+00,
-9.799999e-04,2.00e+00,
-9.797999e-04,2.20e+00,
-9.795999e-04,2.00e+00,
-9.793999e-04,2.20e+00,
-9.791999e-04,2.20e+00,
-9.789999e-04,2.20e+00,
-9.787999e-04,2.00e+00,
-9.785999e-04,2.00e+00,
-9.783999e-04,2.20e+00,
-9.781999e-04,2.20e+00,
-9.779999e-04,2.00e+00,
-9.777999e-04,2.40e+00,
-9.775999e-04,2.00e+00,
-9.773999e-04,2.20e+00,
-9.771999e-04,2.20e+00,
-9.769999e-04,2.00e+00,
-9.767999e-04,2.00e+00,
-9.765999e-04,2.00e+00,
-9.763999e-04,2.00e+00,
-9.761999e-04,2.20e+00,
-9.759999e-04,2.20e+00,
-9.757999e-04,2.20e+00,
-9.755999e-04,2.00e+00,
-9.753999e-04,2.00e+00,
-9.751999e-04,2.00e+00,
-9.749999e-04,2.20e+00,
-9.747999e-04,2.20e+00,
-9.745999e-04,2.20e+00,
-9.743999e-04,2.00e+00,
-9.741999e-04,2.00e+00,
-9.739999e-04,2.00e+00,
-9.737999e-04,2.20e+00,
-9.735999e-04,2.20e+00,
-9.733999e-04,2.00e+00,
-9.731999e-04,2.00e+00,
-9.729999e-04,2.20e+00,
-9.727999e-04,2.20e+00,
-9.725999e-04,2.20e+00,
-9.723999e-04,2.00e+00,
-9.721999e-04,2.00e+00,
-9.719999e-04,2.20e+00,
-9.717999e-04,2.00e+00,
-9.715999e-04,2.20e+00,
-9.713999e-04,2.20e+00,
-9.711999e-04,2.00e+00,
-9.709999e-04,2.00e+00,
-9.707999e-04,2.20e+00,
-9.705999e-04,2.20e+00,
-9.703999e-04,2.00e+00,
-9.701999e-04,2.00e+00,
-9.699999e-04,2.00e+00,
-9.697999e-04,2.00e+00,
-9.695999e-04,2.20e+00,
-9.693999e-04,2.20e+00,
-9.691999e-04,2.00e+00,
-9.689999e-04,2.00e+00,
-9.687999e-04,2.00e+00,
-9.685999e-04,2.00e+00,
-9.683999e-04,2.00e+00,
-9.681999e-04,2.20e+00,
-9.679999e-04,2.00e+00,
-9.677999e-04,2.20e+00,
-9.675999e-04,2.40e+00,
-9.673999e-04,2.20e+00,
-9.671999e-04,2.20e+00,
-9.669999e-04,2.00e+00,
-9.667999e-04,2.20e+00,
-9.665999e-04,2.20e+00,
-9.663999e-04,2.20e+00,
-9.661999e-04,2.00e+00,
-9.659999e-04,2.00e+00,
-9.657999e-04,2.20e+00,
-9.655999e-04,2.20e+00,
-9.653999e-04,2.20e+00,
-9.651999e-04,2.20e+00,
-9.649999e-04,2.20e+00,
-9.647999e-04,2.20e+00,
-9.645999e-04,2.00e+00,
-9.643999e-04,2.20e+00,
-9.641999e-04,2.20e+00,
-9.639999e-04,2.20e+00,
-9.637999e-04,2.20e+00,
-9.635999e-04,2.20e+00,
-9.633999e-04,2.20e+00,
-9.631999e-04,2.20e+00,
-9.629999e-04,2.20e+00,
-9.627999e-04,2.20e+00,
-9.625999e-04,2.20e+00,
-9.623999e-04,2.20e+00,
-9.621999e-04,2.00e+00,
-9.619999e-04,2.00e+00,
-9.617999e-04,2.20e+00,
-9.615999e-04,2.20e+00,
-9.613999e-04,2.00e+00,
-9.611999e-04,2.20e+00,
-9.609999e-04,2.00e+00,
-9.607999e-04,2.00e+00,
-9.605999e-04,2.20e+00,
-9.603999e-04,2.20e+00,
-9.601999e-04,2.20e+00,
-9.599999e-04,2.20e+00,
-9.597999e-04,2.00e+00,
-9.595999e-04,2.00e+00,
-9.593999e-04,2.20e+00,
-9.591999e-04,2.00e+00,
-9.589999e-04,2.20e+00,
-9.587999e-04,2.20e+00,
-9.585999e-04,2.20e+00,
-9.583999e-04,2.20e+00,
-9.581999e-04,2.00e+00,
-9.579999e-04,2.00e+00,
